Provider,,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price_per_month,internal_egress,external_egress,CPU ,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Alibaba,ACk15,123.175,0.025,0.06,0.09,0,0,0,123,100,1000,4,8,200,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk16,123.135,0.015,0.03,0.09,0,0,0,123,100,1000,4,8,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Alibaba,ACk17,1230.464,0.344,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk18,1230.401,0.281,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk19,1230.382,0.262,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk20,1230.377,0.257,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk21,1230.316,0.196,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk22,1230.296,0.176,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk23,1230.286,0.166,0.03,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Alibaba,ACk24,1230.702,0.612,0,0.09,0,0,0,1230,1000,10000,8,64,300,yes,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,US,yes,yes,yes,yes
Alibaba,ACk25,1230.484,0.394,0,0.09,0,0,0,1230,1000,10000,8,16,300,yes,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,US,yes,yes,yes,yes
Alibaba,ACk26,123.325,0.235,0,0.09,0,0,0,123,100,1000,4,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,US,yes,yes,yes,yes
Amazon,EKS1,92.1865,0.0768,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS2,92.1577,0.048,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS3,92.1557,0.046,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS4,92.1547,0.045,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS5,92.1427,0.033,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS6,92.1407,0.031,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS7,92.1387,0.029,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS8,92.16346,0.05376,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,Spot,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,EKS9,92.2333,0.1236,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS10,92.19622,0.08652,0.0097,0.1,0,0,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,Spot,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS11,92.21925,0.088,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS12,92.21625,0.085,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS13,92.21525,0.084,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS14,92.20025,0.069,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS15,92.19725,0.066,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS16,92.19525,0.064,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,EKS17,92.26805,0.1368,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS18,92.22701,0.09576,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,no upfront,No commitment,Spot,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS19,92.23925,0.108,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS20,92.23725,0.106,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS21,92.23625,0.105,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS22,92.22025,0.089,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS23,92.21825,0.087,0.03125,0.1,0,0,2,90,100,1000,2,8,1000,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS24,92.20288,0.089,0.01388,0.1,0,0,2,90,100,1000,2,8,400,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,EKS25,3701.60068,1.4868,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS26,3701.09888,0.985,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS27,3700.82988,0.716,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS28,3701.05788,0.944,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS29,3701.04188,0.928,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,All upfront,1 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS30,3700.78688,0.673,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS31,3700.75388,0.64,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,All upfront,3 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon,EKS32,3703.09888,2.985,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS33,3701.99488,1.881,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS34,3701.90388,1.79,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS35,3701.86888,1.755,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS36,3701.40388,1.29,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS37,3701.30788,1.194,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS38,3701.23588,1.122,0.01388,0.1,0,0,200,3500,10000,50000,32,64,400,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS39,873.26788,3.154,0.01388,0.1,0,0,20,850,1000,10000,8,32,400,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,EKS40,871.53688,1.423,0.01388,0.1,0,0,20,850,1000,10000,8,32,400,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon,ECS1,870.89925,0.868,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon,ECS2,870.69325,0.662,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,All upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,ECS3,870.59925,0.568,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,partially upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,ECS4,870.37845,0.3472,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,no upfront,No commitment,Spot,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon,ECS5,870.47625,0.445,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,no upfront,1 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,ECS6,870.46125,0.43,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,partially upfront,1 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,ECS7,870.34925,0.318,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,All upfront,3 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,ECS8,870.37725,0.346,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,no upfront,3 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon,ECS9,870.32525,0.294,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,All upfront,1 Year commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon,ECS10,870.21925,0.188,0.03125,0,0,0,20,850,1000,10000,8,32,1000,no,yes,both,yes,partially upfront,3 Year commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon,ECS11,122.13987,0.1364,0.00347,0,0,0,2,120,100,1000,2,8,100,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS12,122.0797,0.0728,0.0069,0,0,0,2,120,100,1000,2,4,200,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS13,122.40841,0.398,0.01041,0,0,0,2,120,100,1000,4,8,300,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS14,122.305,0.2912,0.0138,0,0,0,2,120,100,1000,4,16,400,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS15,871.60866,1.592,0.01666,0,0,0,20,850,1000,10000,16,32,500,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS16,871.7999,1.768,0.0319,0,0,0,20,850,1000,10000,16,64,1000,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS17,871.83547,1.832,0.00347,0,0,0,20,850,1000,10000,16,128,100,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS18,4303.0149,3.008,0.0069,0,0,0,200,4100,10000,50000,32,64,200,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS19,4303.4698,3.456,0.0138,0,0,0,200,4100,10000,50000,32,128,500,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,ECS20,4302.0628,2.0309,0.0319,0,0,0,200,4100,10000,50000,32,128,1000,no,yes,both,yes,no upfront,No commitment,Spot,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon,RH1,871.8699,1.3172,0.0097,0.03,0,0.513,20,850,1000,10000,12,48,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH2,870.9137,0.646,0.0097,0.03,0,0.228,20,850,1000,10000,12,48,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH3,870.8747,0.607,0.0097,0.03,0,0.228,20,850,1000,10000,12,48,300,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH4,870.8467,0.579,0.0097,0.03,0,0.228,20,850,1000,10000,12,48,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH5,870.8917,0.624,0.0097,0.03,0,0.228,20,850,1000,10000,12,48,300,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH6,871.2567,0.875,0.0097,0.03,0,0.342,20,850,1000,10000,12,48,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH7,871.2207,0.839,0.0097,0.03,0,0.342,20,850,1000,10000,12,48,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH8,871.2067,0.825,0.0097,0.03,0,0.342,20,850,1000,10000,12,48,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH9,870.9647,0.697,0.0097,0.03,0,0.228,20,850,1000,10000,12,48,300,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH10,870.9227,0.655,0.0097,0.03,0,0.228,20,850,1000,10000,12,48,300,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon,RH11,92.35141,0.14,0.01041,0.03,0,0.171,2,90,100,1000,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon,RH12,92.31541,0.161,0.01041,0.03,0,0.114,2,90,100,1000,4,16,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon,RH13,870.85161,0.4692,0.01041,0.03,0,0.342,20,850,1000,10000,8,16,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon,RH14,870.59041,0.322,0.01041,0.03,0,0.228,20,850,1000,10000,8,32,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon,RH15,871.84586,1.2862,0.01666,0.03,0,0.513,20,850,1000,10000,12,48,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon,RH16,871.1939,0.806,0.0159,0.03,0,0.342,20,850,1000,10000,12,48,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH17,871.8327,1.1028,0.0159,0.03,0,0.684,20,850,10000,10000,16,128,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH18,870.8369,0.335,0.0159,0.03,0,0.456,20,850,10000,10000,16,32,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH19,4302.9135,1.4996,0.0159,0.03,0,1.368,200,4100,10000,50000,32,64,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH20,4301.6899,0.732,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH21,871.8451,1.2862,0.0159,0.03,0,0.513,20,850,10000,10000,12,48,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH22,122.4945,0.2776,0.0159,0.03,0,0.171,2,120,100,1000,4,16,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH23,122.3139,0.154,0.0159,0.03,0,0.114,2,120,100,1000,4,16,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH24,870.3879,,0.0159,0.03,0,0.342,20,850,10000,10000,12,48,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH25,870.3879,,0.0159,0.03,0,0.342,20,850,10000,10000,12,48,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH26,871.3735,0.6436,0.0159,0.03,0,0.684,20,850,10000,10000,16,32,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH27,870.9559,0.454,0.0159,0.03,0,0.456,20,850,10000,10000,16,32,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH28,870.9339,0.432,0.0159,0.03,0,0.456,20,850,10000,10000,16,32,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH29,870.8249,0.323,0.0159,0.03,0,0.456,20,850,10000,10000,16,32,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH30,870.8539,0.352,0.0159,0.03,0,0.456,20,850,10000,10000,16,32,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH31,4303.1279,1.714,0.0159,0.03,0,1.368,200,4100,10000,50000,32,128,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH32,4302.0959,1.138,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH33,4302.0479,1.09,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH34,4302.0289,1.071,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH35,4301.7789,0.821,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH36,4301.7279,0.77,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH37,4303.2239,1.81,0.0159,0.03,0,1.368,200,4100,10000,50000,32,128,500,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH38,4301.7859,0.828,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH39,4301.8239,0.866,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH40,4301.8749,0.917,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH41,4302.1919,1.234,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH42,4302.1439,1.186,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH43,4302.1249,1.167,0.0159,0.03,0,0.912,200,4100,10000,50000,32,128,500,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH44,122.3569,0.197,0.0159,0.03,0,0.114,2,120,100,1000,4,16,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
